,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
60,0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457,0.147,0.874,125.983,236933,4,3
61,0.757,0.647,2,-10.264,1,0.0299,0.757,3.08e-06,0.0972,0.97,122.771,169627,4,0
62,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,148520,4,3
63,0.296,0.584,0,-8.648,1,0.0382,0.153,4.72e-05,0.0757,0.499,118.144,287507,4,9
64,0.541,0.504,11,-14.191,0,0.457,0.375,0.0,0.421,0.707,68.482,192040,4,4
65,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4,5
66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,9
67,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,221933,4,1
68,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4,3
69,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,4,1
70,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,206373,4,5
71,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4,5
72,0.442,0.793,9,-5.152,1,0.0347,0.0456,0.0,0.328,0.437,80.985,237267,4,3
73,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4,1
74,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,334067,4,9
75,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840,4,1
76,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373,4,4
77,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,186267,4,3
78,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627,4,5
79,0.651,0.648,9,-7.44,1,0.0346,0.167,1.7e-05,0.192,0.868,97.017,225667,4,3
80,0.721,0.867,11,-4.302,1,0.196,0.29,2.87e-06,0.503,0.639,127.033,200013,4,4
81,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3,11
82,0.847,0.371,7,-13.909,1,0.0659,0.614,3.55e-06,0.0502,0.914,122.638,136838,4,0
83,0.322,0.282,2,-12.516,1,0.0301,0.855,1.04e-05,0.163,0.0785,77.47,218933,3,11
84,0.809,0.739,9,-5.35,1,0.0358,0.0409,0.000163,0.0929,0.971,125.456,219360,4,3
85,0.461,0.748,1,-6.122,1,0.033,0.0444,0.0,0.125,0.115,180.063,237987,4,9
86,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933,4,5
87,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693,4,5
88,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,166693,4,2
89,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,271093,4,2
90,0.694,0.924,0,-3.764,1,0.0405,0.00309,3.89e-05,0.121,0.72,118.988,294467,4,1
